time;cpu;send;recv
1552922236.0959678;2.0;5928504;113745940
1552922237.099133;10.0;5928704;113746140
1552922238.1023073;3.8;5928904;113746340
1552922239.1060803;2.3;5929104;113746540
1552922240.1095216;1.8;5929304;113746740
1552922241.1130147;2.0;5929504;113746940
1552922242.1165051;2.5;5929777;113747213
1552922243.1199234;2.5;5930219;113747413
1552922244.1233943;2.0;5930903;113747613
1552922245.1270587;2.8;5932818;113752253
